Tipo de actividad;Fecha;Favorito;Título;Distancia;Calorías;Tiempo;Frecuencia cardiaca media;Frecuencia cardiaca máxima;TE aeróbico;Cadencia de carrera media;Cadencia de carrera máxima;Ritmo medio;Ritmo óptimo;Ascenso total;Descenso total;Longitud media de zancada;Relación vertical media;Oscilación vertical media;Tiempo medio de contacto con el suelo;Cadencia de carrera media;Cadencia de carrera máxima;Training Stress Score®;Potencia media;Potencia máxima;Dificultad;Fluidez;Swolf medio;Velocidad media de palada;Repeticiones totales;Tiempo de inmersión;Temperatura mínima;Intervalo en superficie;Descompresión;Mejor tiempo de vuelta;Número de vueltas;Temperatura máxima;Tiempo en movimiento;Tiempo transcurrido;Altura mínima;Altura máxima
Trail running;14/04/2022 9:21;false;Santa Brígida Trail running;18.00;1,563;2:19:16;147;175;3.2;138;241;7:44;4:33;730;746;0.94;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;21.0;0:00;No;02:19:16.10.5;1;29.0;2:17:41;2:23:31;325;742
Trail running;11/04/2022 17:49;false;Santa Brígida Trail running;12.00;1,108;1:21:36;154;173;3.6;151;219;6:48;4:05;342;347;0.97;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;22.0;0:00;No;01:21:36.45.3;1;27.0;1:21:36;1:21:36;406;529
Trail running;05/04/2022 17:17;false;Santa Brígida Trail running;12.00;1,145;1:18:31;157;173;3.9;158;222;6:33;4:08;350;351;0.97;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;20.0;0:00;No;01:18:31.05.4;1;25.0;1:18:24;1:18:31;394;512
Carrera;03/04/2022 16:01;false;Santa Brígida Carrera;5.02;383;0:24:32;163;182;3.4;176;193;4:53;3:50;69;95;1.16;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;23.0;0:00;No;00:04.25.4;6;27.0;0:24:29;0:24:32;492;525
Trail running;31/03/2022 17:49;false;Santa Brígida Trail running;9.04;915;1:16:12;150;182;3.4;132;249;8:26;4:04;388;383;0.90;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;22.0;0:00;No;01:16:12.49.2;1;27.0;1:13:34;1:18:39;369;613
Carrera;27/03/2022 16:59;false;Santa Brígida Carrera;5.01;415;0:30:06;148;160;3.0;165;175;6:01;4:44;59;53;1.00;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;25.0;0:00;No;00:02.47.6;6;27.0;0:30:03;0:30:06;472;506
Trail running;26/03/2022 6:46;false;Trail running;25.00;2,049;4:10:16;127;166;2.9;107;250;10:01;3:30;1,358;1,381;0.93;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;14.0;0:00;No;04:10:15.92.7;1;24.0;3:49:18;4:10:16;807;1.903
Carrera;24/03/2022 17:16;false;Santa Brígida Carrera;8.00;717;0:43:09;0;0;--;167;194;5:23;4:11;99;104;1.11;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;21.0;0:00;No;00:01.82.8;9;25.0;0:43:04;0:44:58;426;472
Trail running;06/03/2022 8:38;false;Valsequillo de Gran Canaria Trail running;18.00;1,407;3:24:53;0;0;--;105;245;11:23;4:16;1,179;1,182;0.84;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;19.0;0:00;No;03:24:53.14.7;1;26.0;3:06:49;3:24:53;773;1.519
Carrera;03/03/2022 17:24;false;Santa Brígida Carrera;4.19;356;0:24:29;155;189;3.0;171;189;5:50;3:28;83;116;1.00;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;20.0;0:00;No;01:19.62.8;5;27.0;0:24:19;0:24:29;450;555
Carrera;01/03/2022 16:28;false;Santa Brígida - Series 1000x6;12.69;934;1:10:50;156;192;3.9;161;195;5:35;3:14;125;125;1.09;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;21.0;0:00;No;00:07.97.1;20;26.0;1:10:21;1:12:20;475;508
